Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,stat_inf_class,eigencentrality
coconutoil6933,coconutoil6933,0,1,1,1,1,1,0,131,276,0
tinarustiana7724,tinarustiana7724,0,1,1,1,1,1,0,131,276,0
thebestmamita,thebestmamita,0,5,5,2,0.857143,0.916667,0,299,276,0
AnaMariaSusilobisa,AnaMariaSusilobisa,1,0,1,0,0,0,0,299,276,0.002837
charlibernando7917,charlibernando7917,0,3,3,1,1,1,0,131,276,0
Thecerdas,Thecerdas,0,1,1,1,1,1,0,131,276,0
kucingmanis6265,kucingmanis6265,0,4,4,2,0.833333,0.9,0,226,276,0
sultankimjongun6230inalillaahi,sultankimjongun6230inalillaahi,1,0,1,0,0,0,0,226,276,0.002837
gunawanwijaya8608,gunawanwijaya8608,0,1,1,1,1,1,0,131,276,0
nomanaplshelp,nomanaplshelp,0,1,1,1,1,1,0,131,276,0
kucingHitam-mk,kucingHitam-mk,0,1,1,1,1,1,0,131,276,0
Lycrois69,Lycrois69,0,2,2,3,0.529412,0.592593,0,131,276,0
magdalenarl2296,magdalenarl2296,0,1,1,1,1,1,0,131,276,0
