Source,Target,Type,Id,Label,Weight
SuyitnoMistik,cccmproject274Halah,Directed,451,,1
kdmpresiden,krizselfa7884,Directed,452,,1
krizselfa7884,krizselfa7884,Directed,453,,1
krizselfa7884,kdmpresiden,Directed,454,,1
purpurblock7770,Naufal_32,Directed,455,,1
siebenakai3344,CandraHermawan-b7n,Directed,456,,1
CandraHermawan-b7n,CandraHermawan-b7n,Directed,457,,1
CandraHermawan-b7n,siebenakai3344ada,Directed,458,,1
waflle.waffle,CandraHermawan-b7n,Directed,459,,1
waflle.waffle,CandraHermawan-b7nAwokaowkw,Directed,460,,1
CristiRonaldo71,CandraHermawan-b7n,Directed,461,,1
waflle.waffle,CandraHermawan-b7nlah,Directed,462,,1
siebenakai3344,heyahmadz,Directed,463,,1
waflle.waffle,heyahmadz,Directed,464,,1
heyahmadz,heyahmadz,Directed,465,,1
heyahmadz,siebenakai3344,Directed,466,,1
siebenakai3344,AjiNugroho-b7w,Directed,467,,1
AjiNugroho-b7w,AjiNugroho-b7w,Directed,468,,1
AjiNugroho-b7w,siebenakai3344,Directed,469,,1
siebenakai3344,AjiNugroho-b7wnaif,Directed,470,,1
AjiNugroho-b7w,siebenakai3344kalau,Directed,471,,1
siebenakai3344,AjiNugroho-b7wlu,Directed,472,,1
IbnuAmirudin-hl2br,LidVicCh,Directed,473,,1
cccmproject274,mulyanadede5540,Directed,474,,1
ambro5529,mulyanadede5540,Directed,475,,1
NurmaBP,mulyanadede5540,Directed,476,,1
armyindo4085,mulyanadede5540,Directed,477,,1
armyindo4085,cccmproject274,Directed,478,,1
cccmproject274,armyindo4085,Directed,479,,1
mulyanadede5540,mulyanadede5540,Directed,480,,1
mulyanadede5540,NurmaBPsejarah,Directed,481,,1
mulyanadede5540,NurmaBPnah,Directed,482,,1
syarifudinrahman-o8f,mulyanadede5540,Directed,483,,1
syarifudinrahman-o8f,cccmproject274,Directed,484,,1
cccmproject274,syarifudinrahman-o8f,Directed,485,,1
Imamar-j7c,mulyanadede5540,Directed,486,,1
mulyanadede5540,Imamar-j7cdarimana,Directed,487,,1
ScoutMaster-p4n,mulyanadede5540,Directed,488,,1
ScoutMaster-p4n,armyindo4085,Directed,489,,1
1nwb-4dnws,mulyanadede5540,Directed,490,,1
axyr99,mulyanadede5540,Directed,491,,1
axyr99,cccmproject274,Directed,492,,1
mulyanadede5540,1nwb-4dnwssemoga,Directed,493,,1
teguhmaulana1238,mulyanadede5540,Directed,494,,1
skuadrenghek,mulyanadede5540,Directed,495,,1
skuadrenghek,teguhmaulana1238analisa,Directed,496,,1
mulyanadede5540,teguhmaulana1238persepsi,Directed,497,,1
1nwb-4dnws,teguhmaulana1238ini,Directed,498,,1
buayaterbang8195,mulyanadede5540,Directed,499,,1
buayaterbang8195,cccmproject274yap,Directed,500,,1
aldifirmansyah9398,mulyanadede5540,Directed,501,,1
RMND1997,mulyanadede5540,Directed,502,,1
mazbrow2692,mulyanadede5540,Directed,503,,1
mulyanadede5540,RMND1997kan,Directed,504,,1
antokarman2064,mulyanadede5540,Directed,505,,1
antokarman2064,teguhmaulana1238,Directed,506,,1
cvdinamika9634,mulyanadede5540,Directed,507,,1
ki_akbarkuspriadi,mulyanadede5540,Directed,508,,1
ki_akbarkuspriadi,syarifudinrahman-o8fYoi,Directed,509,,1
iloveuchanel7264,mulyanadede5540,Directed,510,,1
mulyanadede5540,iloveuchanel7264asumsi,Directed,511,,1
novavolvo2767,mulyanadede5540,Directed,512,,1
SelfGrowth393,mulyanadede5540,Directed,513,,1
SelfGrowth393,teguhmaulana1238nah,Directed,514,,1
wandabtaa2812,mulyanadede5540,Directed,515,,1
ksam8987,mulyanadede5540,Directed,516,,1
waflle.waffle,frye-l,Directed,517,,1
fizlaz397,fizlaz397,Directed,518,,1
kdmpresiden,kudakepang7324,Directed,519,,1
dananggeming1002,dananggeming1002,Directed,520,,1
wartimekillers,wartimekillers,Directed,521,,1
wartimekillers,Nafis-cw3djsiapa,Directed,522,,1
